序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,週票數變動率,累計銷售票數,累計銷售金額
1,南韓,PHANTOM: THE MUSICAL FILM,2022/2/18,威秀影城股份有限公司,WYS en Scene Co. Ltd.,6,-3.86%,"2,491","1,947,910"
2,日本,電影版 昨日的美食,2022/2/18,車庫娛樂股份有限公司,AVEX PICTURES INC.,51,-10.80%,"6,864","1,697,823"
3,越南,鬼電梯,2022/2/18,車庫娛樂股份有限公司,RELAY MOTION KFT.,48,-12.11%,"7,230","1,618,991"
4,法國,黑盒線索,2022/2/18,采昌國際多媒體股份有限公司,StudioCanal SAS,36,19.73%,"3,920","914,277"
5,美國,逍遙上路,2022/2/18,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,FREEWAY ENTERTAINMENT KFT.,56,3.97%,"2,982","677,116"
6,中華民國,愛別離苦,2022/2/18,後場音像紀錄工作室有限公司,後場音像紀錄工作室有限公司,20,-23.32%,"4,461","983,042"
7,美國,完美的敵人,2022/2/18,峻龍國際有限公司,"Fandom Holdings,LLC.",19,41.59%,"1,307","314,967"
8,芬蘭,反恐行動：獨立日,2022/2/18,原創娛樂股份有限公司,REinvent Studios International Sales,23,-23.37%,"1,678","381,261"
9,日本,垃圾頭,2022/2/18,捷傑有限公司,GAGA Corporation,12,-7.06%,984,"232,234"
10,法國,執愛不悔,2022/2/18,佳映娛樂國際股份有限公司,FRANCE TELEVISIONS DISTRIBUTION,3,28.57%,160,"35,794"
11,美國,秘境探險,2022/2/17,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,97,-13.40%,"202,872","51,032,859"
12,美國,尼羅河謀殺案,2022/2/11,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",95,-50.34%,"119,362","30,128,070"
13,美國,娶我吧!,2022/2/11,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,90,-73.53%,"11,404","2,765,179"
14,美國,王牌冤家,2022/2/11,海鵬影業有限公司,United International Pictures,18,-60.51%,"7,177","1,759,740"
15,日本,讓我聽見愛的歌聲,2022/2/11,木棉花國際股份有限公司,BANDAI NAMCO Arts Inc.,31,-53.06%,"6,204","1,545,264"
16,美國,黑特冤家,2022/2/11,威視股份有限公司,Freeway Entertainment Kft.,45,-88.73%,"3,686","881,302"
17,美國,地球重生,2022/2/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,27,-79.69%,"2,331","525,845"
18,法國,艾菲爾情緣,2022/2/11,車庫娛樂股份有限公司,RELAY MOTION KFT.,50,-93.02%,"1,763","398,670"
19,法國,幸福知音,2022/2/11,天馬行空數位有限公司,FREANCE TELEVISIONS DISTRIBUTION,7,-78.00%,317,"61,998"
20,德國,型男斷捨離,2022/2/11,車庫娛樂股份有限公司,PICTURE TREE INTERNATIONAL GMBH,10,-92.23%,220,"51,775"
21,美國,BJ單身日記,2022/2/11,薩摩亞商雄讚股份有限公司台灣分公司,STUDIOCANAL S.A.S.,10,-98.02%,394,"91,449"
22,英國,馬克白,2022/2/10,威秀影城股份有限公司,Trafalgar Releasing Limited,2,160.00%,18,"12,400"
23,日本,詛咒,2022/2/4,車庫娛樂股份有限公司,RELAY MOTION KFT.,24,-78.68%,"3,807","917,639"
24,法國,最後一件晚禮服的秘密,2022/2/4,海鵬影業有限公司,ORANGE STUDIO,14,-60.17%,"1,759","379,255"
25,西班牙,慾望法則 經典數位修復,2022/2/4,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,6,-63.95%,388,"81,085"
26,西班牙,瀕臨崩潰邊緣的女人 經典數位修復,2022/2/4,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,6,-74.77%,445,"94,272"
27,西班牙,我造了什麼孽 經典數位修復,2022/2/4,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,6,-30.95%,342,"71,470"
28,西班牙,修女夜難熬 經典數位修復,2022/2/4,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS,6,-71.70%,262,"53,775"
29,捷克,勇鼠闖天堂,2022/2/4,可樂藝術文創股份有限公司,CHARADES,27,-88.24%,"1,105","244,878"
30,美國,終極攻佔,2022/2/4,車庫娛樂股份有限公司,RELAY MOTION KFT.,39,-100.00%,"2,853","636,410"
31,美國,月球隕落,2022/2/3,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Accelerated Global Content,LLC",84,-60.87%,"195,534","49,849,020"
32,中華民國,嗨！神獸,2022/2/1,滿滿額娛樂股份有限公司,滿滿額娛樂股份有限公司##華納集團##凱擘影藝股份有限公司##百聿數碼創意股份有限公司##硯石(廈門)文化傳媒有限公司##神州娛樂股份有限公司,51,-91.90%,"7,130","1,664,500"
33,中華民國,我吃了那男孩一整年的早餐,2022/1/28,華映娛樂股份有限公司,"華映娛樂股份有限公司,天際娛樂股份有限公司,星空飛騰國際娛樂有限公司,中環國際娛樂事業股份有限公司,星泰國際娛樂股份有限公司,三皇生物科技股份有限公司,樂到家國際娛樂股份有限公司,得藝文創國際股份有限公司,艾迪昇傳播事業有限公司",96,-40.22%,"264,611","63,974,499"
34,美國,歡樂好聲音 2,2022/1/28,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,98,-43.15%,"92,708","22,252,782"
35,中華民國,素還真,2022/1/28,威視股份有限公司,"品蓮觀真電影股份有限公司,霹靂國際多媒體股份有限公司",93,-54.06%,"91,402","21,795,449"
36,美國,夜路,2022/1/28,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",90,-72.69%,"40,521","10,255,527"
37,南韓,極速快遞,2022/1/28,車庫娛樂股份有限公司,RELAY MOTION KFT.,55,-86.94%,"27,062","6,368,398"
38,中華民國,諸葛四郎─英雄的英雄,2022/1/28,牽猴子股份有限公司,童年漫畫股份有限公司,53,-61.11%,"7,297","1,692,785"
39,日本,花與愛麗絲：數位修復版,2022/1/28,光年映畫有限公司,Rockwell Eyes Inc.,13,-94.25%,"2,720","618,187"
40,日本,夏日幽靈,2022/1/28,車庫娛樂股份有限公司,AVEX PICTURES INC.,20,-94.37%,"2,327","583,511"
41,日本,《屁屁偵探: 舒芙蕾島的秘密》,2022/1/21,薩摩亞商雄讚股份有限公司台灣分公司,TOEI ANIMATION ENTERPRISES LIMITED.,58,-26.43%,"22,903","5,243,064"
42,中華民國,妖果小學─水果奶奶的大秘密,2022/1/21,牽猴子股份有限公司,財團法人公共電視文化事業基金會,44,314.29%,"4,973","1,159,658"
43,美國,西城故事,2022/1/21,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",71,-78.46%,"13,828","3,447,221"
44,日本,劇場版FREE! 男子游泳部–the Final Stroke–前篇,2022/1/21,采昌國際多媒體股份有限公司,"ABC ANIMATION,INC.",40,-65.32%,"11,049","2,604,189"
45,法國,我的神秘狼朋友,2022/1/21,捷傑有限公司,GAUMONT S.A.,13,-44.44%,928,"212,682"
46,日本,說不出口的愛,2022/1/21,希望行銷娛樂有限公司,Good Move Media,10,0.00%,223,"51,243"
47,中華民國,再說一次我願意,2022/1/19,皮諾丘電影事業有限公司,"皮諾丘電影事業有限公司,白色影像製作股份有限公司,主雅映象有限公司,沅珅科技有限公司",88,-50.82%,"23,373","5,508,045"
48,美國,GUCCI：豪門謀殺案,2022/1/7,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,88,-75.58%,"70,462","18,226,891"
49,日本,鳩的擊退法,2022/1/7,中影股份有限公司,"松竹 株式會社 Shochiku Co.,Ltd",19,4.20%,"1,870","415,209"
50,日本,名偵探柯南：大怪獸哥梅拉VS假面超人,2022/1/7,曼迪傳播有限公司,YOMIURI TELECASTING CORPORATION,58,-94.59%,"18,738","4,458,051"
51,俄羅斯,鬼保母,2022/1/7,車庫娛樂股份有限公司,CENTRAL PARTNERSHIP SALES HOUSE,26,-100.00%,"5,895","1,408,299"
52,挪威,世界上最爛的人,2021/12/31,好威映象有限公司,MK2,18,109.41%,"9,146","2,198,237"
53,美國,魔鬼剋星：未來世,2021/12/31,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,91,0.00%,"44,066","10,279,622"
54,美國,金牌特務：金士曼起源,2021/12/30,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",99,-73.82%,"614,546","155,002,574"
55,美國,阿達一族 2,2021/12/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,88,0.00%,"20,167","4,707,633"
56,法國,鈦,2021/12/30,光年映畫有限公司,WILD BUNCH INTERNATIONAL,16,22.02%,"5,526","1,245,581"
57,泰國,記憶,2021/12/26,傳影互動股份有限公司,Kick The Machine Films,2,58.33%,"1,057","232,406"
58,日本,在車上,2021/12/25,東昊影業有限公司,The Match Factory GmbH,25,-28.28%,"21,825","5,575,690"
59,中華民國,一杯熱奶茶的等待,2021/12/24,台北?喜電影發行股份有限公司,"一杯熱奶茶影視有限公司,華文創股份有限公司,金贊實業有限公司,滾動力股份有限公司,中環國際娛樂事業股份有限公司,天立揚製片有限公司,愷聯資本有限公司,益康顧問有限公司,大瀚國際開發股份有限公司,盛青陽娛樂製作股份有限公司",65,0.00%,"37,052","9,055,083"
60,中華民國,噩兆,2021/12/24,車庫娛樂股份有限公司,"車庫娛樂股份有限公司,映象工廠有限公司,Arthur Film  ????(?)",44,-100.00%,"65,523","16,158,081"
61,美國,駭客任務：復活,2021/12/22,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,0.00%,"205,143","53,519,580"
62,希臘,夢想裁縫師,2021/12/17,天馬行空數位有限公司,Pluto Film Distribution Network Gmbh,5,62.00%,"1,741","362,967"
63,美國,蜘蛛人：無家日,2021/12/15,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,99,-53.71%,"1,961,426","497,472,291"
64,冰島,天菜特警,2021/12/10,原創娛樂股份有限公司,ALIEF SAS.,2,3.39%,"1,294","219,688"
65,美國,大紅狗克里弗,2021/12/10,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,55,-13.10%,"19,535","4,463,268"
66,中華民國,美國女孩,2021/12/3,水花電影股份有限公司,"水花電影股份有限公司,寰亞電影製作有限公司,杰威爾音樂有限公司,G.H.Y. Culture & Media (Singapore)",35,189.55%,"81,356","19,201,906"
67,法國,天才貓奴畫家,2021/12/3,薩摩亞商雄讚股份有限公司台灣分公司,StudioCanal,6,-0.62%,"8,553","1,856,446"
68,南韓,獵魂者,2021/12/3,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,K-Movie Entertainment,2,21.74%,"8,832","1,967,470"
69,美國,魔法滿屋,2021/11/26,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",41,5.09%,"112,256","26,382,308"
70,日本,偶然與想像,2021/11/26,東昊影業有限公司,m-appeal,8,-34.07%,"15,157","3,565,339"
71,美國,惡靈古堡首部曲：拉昆市,2021/11/26,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,46,-50.67%,"196,577","48,177,623"
72,日本,沒說出口的殺人告白,2021/11/26,鴻聯國際開發股份有限公司,KADOKAWA CORPORATION,1,0.00%,"1,034","229,259"
73,中華民國,月老,2021/11/24,麻吉砥加電影有限公司,"麻吉砥加電影有限公司,禾豐九路娛樂有限公司,良人行影業有限公司,居爾一拳有限公司,樂到家國際娛樂股份有限公司,聚星文創娛樂事業股份有限公司,國賓影城股份有限公司,能率影業股份有限公司,HIVE FILMWORKS INC.",98,-57.50%,"1,086,320","263,680,204"
74,中華民國,青春弒戀,2021/11/19,長龢有限公司,"風度國際有限公司,中環國際娛樂事業股份有限公司,長龢有限公司,阿榮影業股份有限公司,台北市電影委員會,星泰國際娛樂股份有限公司,菊地健興業有限公司,天使放大股份有限公司,齊石傳播有限公司",4,-18.42%,"16,067","3,871,636"
75,香港,梅艷芳,2021/11/12,美商台灣索尼影業發行股份有限公司台灣分公司,"安樂影片有限公司,萬誘引力乙有限公司,天下一電影製作有限公司,華夏電影發行有限責任公司,電訊盈科媒體有限公司",4,-87.06%,"42,747","10,088,494"
76,日本,刀劍神域劇場版 –Progressive- 無星夜的詠嘆調,2021/11/12,木棉花國際股份有限公司,Aniplex Inc.,12,-98.43%,"131,224","34,731,016"
77,日本,嵐 5x20演唱會電影∼回憶全記錄∼,2021/11/5,大鴻藝術股份有限公司,J Storm,1,104.76%,"16,972","7,120,155"
78,美國,永恆族,2021/11/3,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",27,-27.57%,"980,835","258,272,070"
79,中華民國,瀑布,2021/10/29,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",23,-59.12%,"154,583","36,433,078"
80,美國,天兵阿榮,2021/10/29,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",4,-15.58%,"30,200","6,822,378"
81,美國,爽賺姐妹,2021/10/22,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",3,0.00%,"1,297","254,136"
82,美國,最後的決鬥,2021/10/15,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",5,12.00%,"16,326","3,716,096"
83,美國,猛毒2：血蜘蛛,2021/10/13,美商台灣索尼影業發行股份有限公司台灣分公司,(美國)SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,-76.80%,"609,495","154,541,642"
84,中華民國,鱷魚,2021/10/8,滿滿額娛樂股份有限公司,"滿滿額娛樂股份有限公司,鹿路電影有限公司,台灣大哥大myVideo,中環國際娛樂事業股份有限公司,華映娛樂股份有限公司,台北真好電影股份有限公司,中台興化學工業股份有限公司,崴森管理顧問股份有限公司,高雄市電影館",2,-64.71%,"11,941","2,762,617"
85,斯洛伐克,逃出奧斯威辛,2021/10/1,捷傑有限公司,Beta Cinema GmbH.,1,-21.18%,"2,392","491,973"
86,美國,異類崛起,2021/9/24,原創娛樂股份有限公司,Vertical Entertainment,2,0.00%,440,"54,118"
87,美國,沙丘,2021/9/16,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,8,103.77%,"556,535","153,786,663"
88,美國,疾厄,2021/9/2,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,-64.71%,"34,282","8,304,707"
89,日本,青春電幻物語：數位修復版,2021/4/1,光年映畫有限公司,Rockwell Eyes Inc.,2,-100.00%,"4,498","1,040,053"
90,日本,《少女與戰車 最終章》第1+2話,2020/10/7,華藝娛樂股份有限公司,Hakuhodo DY music & pictures Inc.,1,-100.00%,"9,214","4,249,453"
91,不丹,不丹是教室,2020/7/10,海鵬影業有限公司,HX Investment (HK) Limited,6,-4.00%,"36,280","7,596,963"
92,泰國,波米叔叔的前世今生,2010/11/26,傳影互動股份有限公司,THE MATCH FACTORY,2,133.33%,368,"79,096"
93,英國,波西米亞人,2022/2/10,威秀影城股份有限公司,Trafalgar Releasing Limited,6,0.00%,24,"17,080"
94,英國,曼儂•雷斯科,2022/2/10,威秀影城股份有限公司,Trafalgar Releasing Limited,5,240.00%,22,"15,200"
95,南韓,亡命陷阱,2022/1/28,水元素文化傳媒有限公司,"kt alpha Co.,Ltd.",9,-96.67%,695,"164,651"
96,美國,355：諜影特攻,2022/1/19,車庫娛樂股份有限公司,RELAY MOTION KFT.,60,-91.50%,"29,045","6,978,444"
97,美國,驚聲尖叫,2022/1/14,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,91,-90.53%,"26,201","6,317,103"
98,中國大陸,第一爐香,2022/1/14,影一製作所股份有限公司,"上海阿里巴巴影業有限公司,和和（上海）影業有限公司,青鳥影業(上海)有限公司,東台壹尺文化傳媒有限公司,北京星魅力影視文化傳媒集團有限公司,北京影窩文化傳媒有限公司,北京力禾欣文化傳媒有限公司,上海樂朝程影視傳媒有限公司,峨眉電影集團有限公司,桃河影業(北京)有限公司",20,-61.97%,"4,096","980,173"
99,俄羅斯,致命最前線,2022/1/14,可樂藝術文創股份有限公司,Central Partnership Sales House,30,-75.00%,"3,738","856,539"
100,中華民國,尋找神話之鳥,2021/12/17,采昌國際多媒體股份有限公司,鴻奇文化事業有限公司,21,0.00%,"10,770","2,296,119"
101,日本,《少女與戰車 最終章》 第3話,2021/11/19,華藝娛樂股份有限公司,Hakuhodo DY music & Pictures Inc.,5,-100.00%,"7,050","2,889,720"
102,中華民國,老鷹之手,2021/10/29,海之眼影像工作室,海之眼影像工作室,1,0.00%,"6,397","1,445,010"
103,南韓,金派特務,2021/10/29,威視股份有限公司,"KT HITEL CO.,LTD.",4,-59.52%,"12,405","2,698,531"
